Day	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
0	1.671	2.033	2.395	2.794	3.232	3.711	4.230	4.793	5.356
1	1.635	1.994	2.352	2.752	3.196	3.685	4.222	4.810	5.398
2	1.643	2.002	2.362	2.764	3.210	3.704	4.249	4.846	5.443
3	1.656	2.017	2.378	2.782	3.232	3.730	4.280	4.885	5.489
4	1.672	2.034	2.397	2.803	3.256	3.758	4.314	4.925	5.537
5	1.689	2.053	2.418	2.826	3.282	3.789	4.349	4.967	5.585
6	1.708	2.074	2.440	2.851	3.310	3.820	4.386	5.009	5.633
7	1.727	2.096	2.464	2.877	3.339	3.853	4.423	5.052	5.682
8	1.748	2.118	2.488	2.904	3.369	3.887	4.461	5.096	5.731
9	1.769	2.141	2.513	2.932	3.400	3.921	4.500	5.140	5.780
10	1.791	2.165	2.540	2.960	3.431	3.957	4.540	5.186	5.831
11	1.814	2.190	2.567	2.990	3.464	3.993	4.581	5.232	5.883
12	1.837	2.216	2.595	3.021	3.498	4.031	4.623	5.280	5.936
13	1.861	2.242	2.623	3.052	3.533	4.070	4.667	5.329	5.991
14	1.885	2.269	2.653	3.085	3.569	4.110	4.712	5.379	6.047
15	1.910	2.297	2.683	3.118	3.606	4.151	4.758	5.431	6.104
16	1.935	2.325	2.714	3.152	3.644	4.193	4.804	5.483	6.162
17	1.961	2.353	2.745	3.187	3.682	4.235	4.852	5.536	6.221
18	1.987	2.382	2.777	3.221	3.720	4.278	4.899	5.589	6.279
19	2.013	2.410	2.808	3.256	3.758	4.320	4.946	5.642	6.338
20	2.039	2.439	2.840	3.291	3.797	4.363	4.994	5.695	6.397
21	2.064	2.468	2.871	3.325	3.835	4.406	5.042	5.749	6.456
22	2.090	2.496	2.903	3.360	3.874	4.448	5.089	5.802	6.514
23	2.116	2.525	2.934	3.395	3.912	4.490	5.136	5.854	6.572
24	2.142	2.553	2.965	3.429	3.950	4.532	5.183	5.906	6.630
25	2.167	2.582	2.996	3.463	3.987	4.574	5.229	5.958	6.687
26	2.193	2.610	3.027	3.497	4.025	4.616	5.275	6.010	6.745
27	2.218	2.638	3.058	3.531	4.062	4.657	5.321	6.061	6.801
28	2.243	2.665	3.088	3.564	4.099	4.698	5.366	6.112	6.857
29	2.268	2.693	3.118	3.597	4.135	4.738	5.411	6.162	6.912
30	2.293	2.720	3.148	3.630	4.172	4.778	5.456	6.212	6.967
31	2.317	2.747	3.178	3.663	4.208	4.818	5.500	6.261	7.022
32	2.341	2.774	3.207	3.695	4.243	4.857	5.544	6.310	7.075
33	2.365	2.801	3.236	3.727	4.278	4.896	5.587	6.358	7.129
34	2.389	2.827	3.265	3.758	4.313	4.935	5.630	6.406	7.181
35	2.413	2.853	3.294	3.790	4.348	4.973	5.672	6.453	7.233
36	2.436	2.879	3.322	3.821	4.382	5.011	5.714	6.500	7.285
37	2.459	2.904	3.350	3.851	4.416	5.048	5.756	6.546	7.336
38	2.482	2.930	3.377	3.882	4.449	5.085	5.797	6.592	7.386
39	2.505	2.955	3.405	3.912	4.482	5.122	5.837	6.637	7.436
40	2.527	2.980	3.432	3.942	4.515	5.158	5.878	6.682	7.486
41	2.550	3.004	3.459	3.971	4.547	5.194	5.917	6.726	7.534
42	2.572	3.029	3.485	4.000	4.579	5.229	5.957	6.770	7.583
43	2.594	3.053	3.512	4.029	4.611	5.264	5.995	6.813	7.631
44	2.615	3.077	3.538	4.058	4.642	5.299	6.034	6.856	7.678
45	2.637	3.100	3.564	4.086	4.674	5.333	6.072	6.898	7.725
46	2.658	3.124	3.589	4.114	4.704	5.367	6.110	6.941	7.771
47	2.679	3.147	3.614	4.142	4.735	5.401	6.147	6.982	7.817
48	2.700	3.170	3.639	4.169	4.765	5.434	6.184	7.024	7.863
49	2.720	3.192	3.664	4.196	4.795	5.467	6.221	7.064	7.908
50	2.741	3.215	3.689	4.223	4.824	5.500	6.257	7.105	7.952
51	2.761	3.237	3.713	4.250	4.854	5.532	6.293	7.145	7.996
52	2.781	3.259	3.737	4.276	4.883	5.564	6.329	7.185	8.040
53	2.801	3.281	3.761	4.302	4.912	5.596	6.364	7.224	8.084
54	2.821	3.303	3.785	4.328	4.940	5.627	6.399	7.263	8.127
55	2.840	3.324	3.808	4.354	4.968	5.658	6.433	7.301	8.169
56	2.860	3.345	3.831	4.379	4.996	5.689	6.467	7.339	8.211
57	2.879	3.366	3.854	4.404	5.024	5.720	6.501	7.377	8.253
58	2.898	3.387	3.877	4.429	5.051	5.750	6.535	7.414	8.294
59	2.916	3.408	3.899	4.454	5.078	5.780	6.568	7.452	8.335
60	2.935	3.428	3.922	4.478	5.105	5.810	6.601	7.488	8.376
61	2.953	3.449	3.944	4.502	5.132	5.839	6.634	7.525	8.416
62	2.972	3.469	3.966	4.526	5.158	5.868	6.666	7.561	8.457
63	2.990	3.489	3.987	4.550	5.184	5.897	6.699	7.597	8.496
64	3.008	3.508	4.009	4.574	5.210	5.926	6.731	7.633	8.536
65	3.026	3.528	4.031	4.597	5.236	5.955	6.762	7.669	8.575
66	3.044	3.548	4.052	4.621	5.262	5.983	6.794	7.704	8.614
67	3.061	3.567	4.073	4.644	5.287	6.011	6.825	7.739	8.652
68	3.079	3.586	4.094	4.667	5.312	6.039	6.856	7.773	8.690
69	3.096	3.605	4.114	4.689	5.337	6.066	6.886	7.807	8.728
70	3.113	3.624	4.135	4.712	5.362	6.094	6.917	7.842	8.766
71	3.130	3.643	4.155	4.734	5.386	6.121	6.947	7.875	8.804
72	3.147	3.661	4.175	4.756	5.411	6.148	6.977	7.909	8.841
73	3.163	3.679	4.195	4.778	5.435	6.175	7.007	7.942	8.878
74	3.180	3.698	4.215	4.800	5.459	6.201	7.036	7.975	8.914
75	3.196	3.716	4.235	4.821	5.482	6.227	7.066	8.008	8.951
76	3.213	3.734	4.255	4.843	5.506	6.254	7.095	8.041	8.987
77	3.229	3.752	4.274	4.864	5.530	6.279	7.124	8.073	9.022
78	3.245	3.769	4.293	4.885	5.553	6.305	7.152	8.105	9.058
79	3.261	3.787	4.312	4.906	5.576	6.331	7.181	8.137	9.093
80	3.277	3.804	4.331	4.927	5.599	6.356	7.209	8.169	9.128
81	3.292	3.821	4.350	4.947	5.621	6.381	7.237	8.200	9.163
82	3.308	3.838	4.369	4.968	5.644	6.406	7.265	8.231	9.198
83	3.323	3.855	4.387	4.988	5.666	6.431	7.292	8.262	9.232
84	3.339	3.872	4.406	5.008	5.688	6.455	7.320	8.293	9.266
85	3.354	3.889	4.424	5.028	5.710	6.480	7.347	8.324	9.300
86	3.369	3.905	4.442	5.048	5.732	6.504	7.374	8.354	9.334
87	3.384	3.922	4.460	5.068	5.754	6.528	7.401	8.384	9.367
88	3.399	3.938	4.478	5.087	5.776	6.552	7.428	8.414	9.401
89	3.414	3.955	4.496	5.107	5.797	6.576	7.454	8.444	9.433
90	3.428	3.971	4.513	5.126	5.818	6.599	7.480	8.473	9.466
91	3.443	3.987	4.531	5.145	5.839	6.623	7.506	8.503	9.499
92	3.457	4.003	4.548	5.164	5.860	6.646	7.532	8.532	9.531
93	3.472	4.018	4.565	5.183	5.881	6.669	7.558	8.561	9.563
94	3.486	4.034	4.582	5.202	5.902	6.692	7.584	8.590	9.596
95	3.500	4.050	4.599	5.221	5.922	6.715	7.609	8.618	9.627
96	3.515	4.065	4.616	5.239	5.943	6.737	7.634	8.647	9.659
97	3.528	4.081	4.633	5.257	5.963	6.760	7.660	8.675	9.690
98	3.542	4.096	4.650	5.276	5.983	6.782	7.685	8.703	9.722
99	3.556	4.111	4.666	5.294	6.003	6.805	7.710	8.731	9.753
100	3.570	4.126	4.683	5.312	6.023	6.826	7.734	8.759	9.784
101	3.583	4.141	4.699	5.330	6.043	6.848	7.759	8.786	9.814
102	3.597	4.156	4.715	5.347	6.062	6.870	7.783	8.814	9.845
103	3.610	4.171	4.731	5.365	6.082	6.892	7.807	8.841	9.875
104	3.624	4.185	4.747	5.383	6.101	6.913	7.831	8.868	9.905
105	3.637	4.200	4.763	5.400	6.120	6.935	7.855	8.895	9.935
106	3.650	4.214	4.779	5.417	6.139	6.956	7.879	8.922	9.965
107	3.663	4.229	4.794	5.434	6.158	6.977	7.902	8.948	9.994
108	3.676	4.243	4.810	5.451	6.177	6.998	7.926	8.975	10.024
109	3.689	4.257	4.825	5.468	6.196	7.019	7.949	9.001	10.053
110	3.702	4.271	4.841	5.485	6.214	7.039	7.972	9.027	10.082
111	3.714	4.285	4.856	5.502	6.233	7.060	7.995	9.053	10.111
112	3.727	4.299	4.871	5.518	6.251	7.080	8.018	9.079	10.139
113	3.739	4.313	4.886	5.535	6.269	7.100	8.041	9.104	10.168
114	3.752	4.326	4.901	5.551	6.287	7.120	8.063	9.130	10.197
115	3.764	4.340	4.916	5.568	6.305	7.141	8.086	9.155	10.225
116	3.776	4.353	4.930	5.584	6.323	7.160	8.108	9.180	10.253
117	3.789	4.367	4.945	5.600	6.341	7.180	8.130	9.206	10.281
118	3.801	4.380	4.960	5.616	6.359	7.200	8.152	9.230	10.309
119	3.813	4.394	4.974	5.632	6.376	7.219	8.174	9.255	10.336
120	3.825	4.407	4.988	5.647	6.394	7.239	8.196	9.280	10.364
121	3.837	4.420	5.003	5.663	6.411	7.258	8.217	9.304	10.391
122	3.848	4.433	5.017	5.679	6.428	7.277	8.239	9.328	10.418
123	3.860	4.446	5.031	5.694	6.445	7.296	8.260	9.352	10.445
124	3.872	4.458	5.045	5.709	6.462	7.315	8.281	9.376	10.472
125	3.883	4.471	5.059	5.725	6.479	7.334	8.302	9.400	10.498
126	3.895	4.484	5.073	5.740	6.496	7.352	8.323	9.424	10.525
127	3.906	4.496	5.086	5.755	6.512	7.371	8.344	9.448	10.551
128	3.918	4.509	5.100	5.770	6.529	7.389	8.365	9.471	10.577
129	3.929	4.521	5.113	5.785	6.545	7.408	8.385	9.494	10.603
130	3.940	4.534	5.127	5.799	6.562	7.426	8.406	9.517	10.629
131	3.951	4.546	5.140	5.814	6.578	7.444	8.426	9.540	10.655
132	3.962	4.558	5.154	5.829	6.594	7.462	8.446	9.563	10.681
133	3.973	4.570	5.167	5.843	6.610	7.480	8.466	9.586	10.706
134	3.984	4.582	5.180	5.857	6.626	7.497	8.486	9.609	10.731
135	3.995	4.594	5.193	5.872	6.642	7.515	8.506	9.631	10.756
136	4.006	4.606	5.206	5.886	6.657	7.532	8.526	9.654	10.781
137	4.017	4.618	5.219	5.900	6.673	7.550	8.545	9.676	10.806
138	4.027	4.629	5.231	5.914	6.688	7.567	8.565	9.698	10.831
139	4.038	4.641	5.244	5.928	6.704	7.585	8.584	9.720	10.856
140	4.048	4.652	5.257	5.942	6.719	7.602	8.604	9.742	10.880
141	4.059	4.664	5.269	5.956	6.734	7.619	8.623	9.764	10.905
142	4.069	4.675	5.282	5.969	6.750	7.635	8.642	9.785	10.929
143	4.079	4.687	5.294	5.983	6.765	7.652	8.661	9.807	10.953
144	4.090	4.698	5.306	5.996	6.780	7.669	8.679	9.828	10.976
145	4.100	4.709	5.318	6.010	6.794	7.686	8.698	9.849	11.001
146	4.110	4.720	5.331	6.023	6.809	7.702	8.717	9.870	11.024
147	4.120	4.731	5.343	6.036	6.824	7.718	8.735	9.892	11.048
148	4.130	4.742	5.355	6.049	6.838	7.735	8.753	9.912	11.071
149	4.140	4.753	5.366	6.063	6.853	7.751	8.772	9.933	11.095
150	4.149	4.764	5.378	6.076	6.867	7.767	8.790	9.954	11.118
151	4.159	4.775	5.390	6.088	6.882	7.783	8.808	9.974	11.141
152	4.169	4.785	5.402	6.101	6.896	7.799	8.826	9.995	11.164
153	4.179	4.796	5.413	6.114	6.910	7.815	8.844	10.015	11.187
154	4.188	4.807	5.425	6.127	6.924	7.831	8.862	10.036	11.209
155	4.198	4.817	5.436	6.139	6.938	7.846	8.879	10.056	11.232
156	4.207	4.828	5.448	6.152	6.952	7.862	8.897	10.076	11.255
157	4.217	4.838	5.459	6.164	6.966	7.877	8.914	10.096	11.277
158	4.226	4.848	5.470	6.177	6.980	7.893	8.932	10.116	11.299
159	4.235	4.859	5.482	6.189	6.993	7.908	8.949	10.136	11.322
160	4.245	4.869	5.493	6.201	7.007	7.923	8.967	10.155	11.344
161	4.254	4.879	5.504	6.214	7.020	7.938	8.984	10.175	11.366
162	4.263	4.889	5.515	6.226	7.034	7.954	9.001	10.194	11.388
163	4.272	4.899	5.526	6.238	7.047	7.969	9.018	10.214	11.409
164	4.281	4.909	5.537	6.250	7.061	7.984	9.035	10.233	11.431
165	4.290	4.919	5.548	6.262	7.074	7.998	9.051	10.252	11.453
166	4.299	4.929	5.558	6.274	7.087	8.013	9.068	10.271	11.474
167	4.308	4.938	5.569	6.285	7.100	8.028	9.085	10.290	11.496
168	4.317	4.948	5.580	6.297	7.113	8.042	9.101	10.309	11.517
169	4.326	4.958	5.590	6.309	7.126	8.057	9.118	10.328	11.538
170	4.334	4.968	5.601	6.321	7.139	8.072	9.134	10.347	11.560
171	4.343	4.977	5.611	6.332	7.152	8.086	9.151	10.366	11.581
172	4.352	4.987	5.622	6.344	7.165	8.100	9.167	10.384	11.602
173	4.360	4.996	5.632	6.355	7.178	8.115	9.183	10.403	11.623
174	4.369	5.006	5.642	6.366	7.190	8.129	9.199	10.421	11.644
175	4.377	5.015	5.653	6.378	7.203	8.143	9.215	10.440	11.664
176	4.386	5.024	5.663	6.389	7.215	8.157	9.231	10.458	11.685
177	4.394	5.034	5.673	6.400	7.228	8.171	9.247	10.477	11.706
178	4.403	5.043	5.683	6.411	7.240	8.185	9.263	10.495	11.726
179	4.411	5.052	5.693	6.422	7.253	8.199	9.279	10.513	11.746
180	4.419	5.061	5.703	6.434	7.265	8.213	9.295	10.531	11.767
181	4.427	5.070	5.713	6.444	7.277	8.227	9.310	10.549	11.787
182	4.436	5.079	5.723	6.455	7.289	8.240	9.326	10.566	11.807
183	4.444	5.088	5.733	6.466	7.302	8.254	9.341	10.585	11.828
184	4.452	5.097	5.743	6.477	7.314	8.267	9.357	10.602	11.847
185	4.460	5.106	5.753	6.488	7.326	8.281	9.372	10.620	11.868
186	4.468	5.115	5.762	6.499	7.338	8.295	9.388	10.638	11.888
187	4.476	5.124	5.772	6.509	7.350	8.308	9.403	10.655	11.907
188	4.484	5.133	5.782	6.520	7.361	8.321	9.418	10.673	11.927
189	4.492	5.141	5.791	6.531	7.373	8.335	9.433	10.690	11.947
190	4.500	5.150	5.801	6.541	7.385	8.348	9.448	10.707	11.967
191	4.507	5.159	5.810	6.552	7.397	8.361	9.463	10.725	11.986
192	4.515	5.167	5.820	6.562	7.408	8.374	9.478	10.742	12.005
193	4.523	5.176	5.829	6.572	7.420	8.387	9.493	10.759	12.025
194	4.531	5.185	5.838	6.583	7.431	8.400	9.508	10.776	12.044
195	4.538	5.193	5.848	6.593	7.443	8.413	9.523	10.793	12.064
196	4.546	5.201	5.857	6.603	7.454	8.426	9.537	10.810	12.083
197	4.553	5.210	5.866	6.613	7.466	8.439	9.552	10.827	12.102
198	4.561	5.218	5.875	6.624	7.477	8.452	9.567	10.844	12.121
199	4.569	5.226	5.884	6.634	7.488	8.465	9.581	10.861	12.140
200	4.576	5.235	5.893	6.644	7.500	8.477	9.596	10.877	12.159
201	4.583	5.243	5.902	6.654	7.511	8.490	9.610	10.894	12.178
202	4.591	5.251	5.911	6.664	7.522	8.503	9.625	10.911	12.197
203	4.598	5.259	5.920	6.674	7.533	8.515	9.639	10.927	12.216
204	4.606	5.267	5.929	6.683	7.544	8.527	9.653	10.944	12.234
205	4.613	5.276	5.938	6.693	7.555	8.540	9.668	10.961	12.254
206	4.620	5.284	5.947	6.703	7.566	8.552	9.682	10.977	12.272
207	4.627	5.292	5.956	6.713	7.577	8.565	9.696	10.993	12.291
208	4.635	5.300	5.965	6.723	7.588	8.577	9.710	11.009	12.309
209	4.642	5.307	5.973	6.732	7.599	8.589	9.724	11.026	12.327
210	4.649	5.315	5.982	6.742	7.609	8.601	9.738	11.042	12.346
211	4.656	5.323	5.991	6.751	7.620	8.614	9.752	11.058	12.364
212	4.663	5.331	5.999	6.761	7.631	8.626	9.766	11.074	12.383
213	4.670	5.339	6.008	6.771	7.642	8.638	9.780	11.090	12.401
214	4.677	5.347	6.016	6.780	7.652	8.650	9.793	11.106	12.419
215	4.684	5.354	6.025	6.789	7.663	8.662	9.807	11.122	12.437
216	4.691	5.362	6.033	6.799	7.673	8.674	9.821	11.138	12.455
217	4.698	5.370	6.042	6.808	7.684	8.686	9.834	11.154	12.473
218	4.705	5.377	6.050	6.818	7.694	8.698	9.848	11.170	12.491
219	4.711	5.385	6.059	6.827	7.705	8.710	9.862	11.185	12.509
220	4.718	5.393	6.067	6.836	7.715	8.721	9.875	11.201	12.527
221	4.725	5.400	6.075	6.845	7.725	8.733	9.889	11.217	12.545
222	4.732	5.407	6.083	6.854	7.736	8.745	9.902	11.232	12.563
223	4.739	5.415	6.092	6.864	7.746	8.756	9.915	11.248	12.580
224	4.745	5.423	6.100	6.873	7.756	8.768	9.929	11.263	12.598
225	4.752	5.430	6.108	6.882	7.766	8.780	9.942	11.279	12.615
226	4.759	5.437	6.116	6.891	7.777	8.791	9.955	11.294	12.633
227	4.765	5.445	6.124	6.900	7.787	8.803	9.969	11.310	12.651
228	4.772	5.452	6.132	6.909	7.797	8.814	9.982	11.325	12.668
229	4.778	5.459	6.140	6.918	7.807	8.825	9.995	11.340	12.686
230	4.785	5.467	6.148	6.927	7.817	8.837	10.008	11.356	12.703
231	4.791	5.474	6.156	6.936	7.827	8.848	10.021	11.371	12.720
232	4.798	5.481	6.164	6.944	7.837	8.860	10.034	11.386	12.738
233	4.804	5.488	6.172	6.953	7.847	8.871	10.047	11.401	12.755
234	4.810	5.495	6.180	6.962	7.857	8.882	10.060	11.416	12.772
235	4.817	5.502	6.188	6.971	7.866	8.893	10.073	11.431	12.789
236	4.823	5.509	6.196	6.979	7.876	8.904	10.086	11.446	12.806
237	4.830	5.517	6.204	6.988	7.886	8.916	10.099	11.461	12.823
238	4.836	5.524	6.211	6.997	7.896	8.927	10.111	11.476	12.841
239	4.842	5.531	6.219	7.005	7.905	8.938	10.124	11.491	12.857
240	4.849	5.538	6.227	7.014	7.915	8.949	10.137	11.506	12.874
241	4.855	5.544	6.234	7.022	7.925	8.960	10.150	11.520	12.891
242	4.861	5.551	6.242	7.031	7.934	8.971	10.162	11.535	12.908
243	4.867	5.558	6.250	7.040	7.944	8.981	10.175	11.550	12.925
244	4.873	5.565	6.257	7.048	7.953	8.992	10.187	11.564	12.942
245	4.879	5.572	6.265	7.056	7.963	9.003	10.200	11.579	12.958
246	4.885	5.579	6.272	7.065	7.972	9.014	10.212	11.594	12.975
247	4.892	5.586	6.280	7.073	7.982	9.025	10.225	11.608	12.992
248	4.898	5.593	6.287	7.082	7.991	9.036	10.237	11.622	13.008
249	4.904	5.599	6.295	7.090	8.001	9.046	10.249	11.637	13.025
250	4.910	5.606	6.302	7.098	8.010	9.057	10.262	11.651	13.041
251	4.916	5.613	6.310	7.106	8.019	9.068	10.274	11.666	13.057
252	4.922	5.619	6.317	7.115	8.029	9.078	10.286	11.680	13.074
253	4.928	5.626	6.324	7.123	8.038	9.089	10.298	11.694	13.090
254	4.934	5.633	6.332	7.131	8.047	9.099	10.311	11.709	13.107
255	4.940	5.639	6.339	7.139	8.056	9.110	10.323	11.723	13.123
256	4.945	5.646	6.346	7.147	8.066	9.120	10.335	11.737	13.139
257	4.951	5.652	6.354	7.155	8.075	9.131	10.347	11.751	13.155
258	4.957	5.659	6.361	7.163	8.084	9.141	10.359	11.765	13.172
259	4.963	5.665	6.368	7.172	8.093	9.152	10.371	11.779	13.188
260	4.969	5.672	6.375	7.180	8.102	9.162	10.383	11.793	13.204
261	4.975	5.678	6.382	7.188	8.111	9.172	10.395	11.807	13.220
262	4.980	5.685	6.389	7.196	8.120	9.182	10.407	11.821	13.235
263	4.986	5.691	6.397	7.203	8.129	9.193	10.419	11.835	13.252
264	4.992	5.698	6.404	7.211	8.138	9.203	10.431	11.849	13.268
265	4.998	5.704	6.411	7.219	8.147	9.213	10.442	11.863	13.283
266	5.003	5.711	6.418	7.227	8.156	9.223	10.454	11.877	13.299
267	5.009	5.717	6.425	7.235	8.164	9.233	10.466	11.891	13.315
268	5.015	5.723	6.432	7.243	8.173	9.244	10.478	11.904	13.331
269	5.020	5.730	6.439	7.251	8.182	9.254	10.489	11.918	13.346
270	5.026	5.736	6.446	7.258	8.191	9.264	10.501	11.932	13.362
271	5.031	5.742	6.453	7.266	8.200	9.274	10.513	11.945	13.378
272	5.037	5.748	6.460	7.274	8.208	9.284	10.524	11.959	13.393
273	5.043	5.755	6.466	7.282	8.217	9.294	10.536	11.972	13.409
274	5.048	5.761	6.473	7.289	8.226	9.304	10.547	11.986	13.425
275	5.054	5.767	6.480	7.297	8.235	9.314	10.559	11.999	13.440
276	5.059	5.773	6.487	7.305	8.243	9.323	10.570	12.013	13.455
277	5.065	5.779	6.494	7.312	8.252	9.333	10.582	12.026	13.471
278	5.070	5.785	6.501	7.320	8.260	9.343	10.593	12.040	13.487
279	5.076	5.792	6.507	7.327	8.269	9.353	10.604	12.053	13.501
280	5.081	5.798	6.514	7.335	8.278	9.363	10.616	12.066	13.517
281	5.086	5.804	6.521	7.343	8.286	9.373	10.627	12.080	13.532
282	5.092	5.810	6.528	7.350	8.295	9.382	10.638	12.093	13.548
283	5.097	5.816	6.534	7.358	8.303	9.392	10.650	12.106	13.563
284	5.103	5.822	6.541	7.365	8.312	9.402	10.661	12.119	13.578
285	5.108	5.828	6.548	7.373	8.320	9.412	10.672	12.133	13.593
286	5.113	5.834	6.554	7.380	8.328	9.421	10.683	12.146	13.608
287	5.119	5.840	6.561	7.387	8.337	9.431	10.695	12.159	13.624
288	5.124	5.846	6.568	7.395	8.345	9.440	10.706	12.172	13.638
289	5.130	5.852	6.574	7.402	8.354	9.450	10.717	12.185	13.653
290	5.135	5.858	6.581	7.410	8.362	9.460	10.728	12.198	13.668
291	5.140	5.864	6.587	7.417	8.370	9.469	10.739	12.211	13.683
292	5.145	5.870	6.594	7.424	8.379	9.479	10.750	12.224	13.699
293	5.151	5.876	6.601	7.432	8.387	9.488	10.761	12.237	13.713
294	5.156	5.881	6.607	7.439	8.395	9.498	10.772	12.250	13.728
295	5.161	5.887	6.614	7.446	8.404	9.507	10.783	12.263	13.743
296	5.166	5.893	6.620	7.453	8.412	9.517	10.794	12.276	13.758
297	5.171	5.899	6.626	7.461	8.420	9.526	10.805	12.289	13.773
298	5.177	5.905	6.633	7.468	8.428	9.535	10.816	12.302	13.788
299	5.182	5.911	6.639	7.475	8.436	9.545	10.827	12.314	13.802
300	5.187	5.917	6.646	7.482	8.444	9.554	10.838	12.327	13.817
301	5.192	5.922	6.652	7.490	8.453	9.563	10.849	12.340	13.832
302	5.197	5.928	6.659	7.497	8.461	9.573	10.859	12.353	13.846
303	5.202	5.934	6.665	7.504	8.469	9.582	10.870	12.366	13.861
304	5.208	5.940	6.671	7.511	8.477	9.591	10.881	12.378	13.875
305	5.213	5.945	6.678	7.518	8.485	9.601	10.892	12.391	13.890
306	5.218	5.951	6.684	7.525	8.493	9.610	10.902	12.403	13.904
307	5.223	5.957	6.690	7.532	8.501	9.619	10.913	12.416	13.919
308	5.228	5.962	6.697	7.540	8.509	9.628	10.924	12.429	13.934
309	5.233	5.968	6.703	7.547	8.517	9.638	10.935	12.442	13.948
310	5.238	5.974	6.710	7.554	8.525	9.647	10.945	12.454	13.962
311	5.243	5.980	6.716	7.561	8.533	9.656	10.956	12.466	13.977
312	5.248	5.985	6.722	7.568	8.541	9.665	10.966	12.479	13.991
313	5.253	5.991	6.728	7.575	8.549	9.674	10.977	12.491	14.006
314	5.258	5.996	6.734	7.582	8.557	9.683	10.988	12.504	14.020
315	5.264	6.002	6.741	7.589	8.565	9.692	10.998	12.516	14.034
316	5.269	6.008	6.747	7.596	8.573	9.701	11.009	12.529	14.048
317	5.274	6.013	6.753	7.603	8.581	9.710	11.019	12.541	14.063
318	5.278	6.019	6.759	7.610	8.589	9.720	11.030	12.554	14.077
319	5.283	6.024	6.766	7.617	8.596	9.729	11.040	12.566	14.091
320	5.289	6.030	6.772	7.624	8.604	9.737	11.051	12.578	14.105
321	5.293	6.036	6.778	7.630	8.612	9.746	11.061	12.590	14.119
322	5.298	6.041	6.784	7.637	8.620	9.756	11.072	12.603	14.134
323	5.303	6.047	6.790	7.644	8.628	9.765	11.082	12.615	14.148
324	5.308	6.052	6.796	7.651	8.636	9.773	11.093	12.627	14.162
325	5.313	6.058	6.803	7.658	8.644	9.782	11.103	12.639	14.176
326	5.318	6.063	6.809	7.665	8.651	9.791	11.113	12.651	14.190
327	5.323	6.069	6.815	7.672	8.659	9.800	11.124	12.664	14.204
328	5.328	6.074	6.821	7.678	8.667	9.809	11.134	12.676	14.218
329	5.333	6.080	6.827	7.685	8.674	9.818	11.144	12.688	14.232
330	5.338	6.085	6.833	7.692	8.682	9.827	11.154	12.700	14.246
331	5.343	6.091	6.839	7.699	8.690	9.836	11.165	12.712	14.260
332	5.347	6.096	6.845	7.706	8.698	9.844	11.175	12.724	14.274
333	5.352	6.102	6.851	7.713	8.705	9.853	11.185	12.737	14.288
334	5.357	6.107	6.857	7.719	8.713	9.862	11.196	12.748	14.301
335	5.362	6.113	6.863	7.726	8.721	9.871	11.206	12.761	14.315
336	5.367	6.118	6.869	7.733	8.728	9.880	11.216	12.773	14.329
337	5.372	6.124	6.875	7.740	8.736	9.889	11.226	12.785	14.343
338	5.377	6.129	6.882	7.746	8.744	9.897	11.236	12.796	14.357
339	5.381	6.134	6.887	7.753	8.751	9.906	11.247	12.808	14.370
340	5.386	6.140	6.893	7.760	8.759	9.915	11.257	12.820	14.384
341	5.391	6.145	6.899	7.766	8.766	9.923	11.267	12.833	14.398
342	5.396	6.151	6.905	7.773	8.774	9.932	11.277	12.844	14.411
343	5.401	6.156	6.911	7.780	8.782	9.941	11.287	12.856	14.425
344	5.405	6.161	6.917	7.787	8.789	9.950	11.297	12.868	14.439
345	5.410	6.167	6.923	7.793	8.797	9.958	11.307	12.880	14.453
346	5.415	6.172	6.929	7.800	8.804	9.967	11.317	12.892	14.466
347	5.420	6.177	6.935	7.807	8.812	9.976	11.327	12.904	14.480
348	5.425	6.183	6.941	7.813	8.819	9.984	11.337	12.915	14.493
349	5.429	6.188	6.947	7.820	8.827	9.993	11.347	12.927	14.507
350	5.434	6.193	6.953	7.826	8.834	10.001	11.357	12.939	14.521
351	5.439	6.199	6.959	7.833	8.842	10.010	11.368	12.951	14.534
